Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
cuba,2019,"80,08","75,24","77,61"
cuba,2018,"80,05","75,07","77,50"
cuba,2017,"80,07","75,12","77,53"
cuba,2016,"80,11","75,30","77,64"
dinamarca,2021,"83,30","79,60","81,50"
dinamarca,2020,"83,60","79,70","81,60"
dinamarca,2019,"83,50","79,50","81,50"
dinamarca,2018,"82,90","79,10","81,00"
dinamarca,2017,"83,10","79,20","81,10"
dinamarca,2016,"82,80","79,00","80,90"
dominica,2021,"76,30","69,73","72,81"
dominica,2020,"77,26","70,43","73,65"
dominica,2019,"77,21","70,36","73,56"
dominica,2018,"77,25","70,41","73,59"
dominica,2017,"69,65","65,60","67,53"
dominica,2016,"73,02","67,57","70,13"
ecuador,2021,"77,46","70,26","73,67"
ecuador,2020,"76,06","68,77","72,15"
ecuador,2019,"79,95","74,70","77,30"
ecuador,2018,"79,60","74,62","77,09"
ecuador,2017,"79,40","74,58","76,97"
ecuador,2016,"79,14","74,41","76,76"
egipto,2021,"72,61","67,94","70,22"
egipto,2020,"73,39","68,67","70,99"
egipto,2019,"73,71","69,05","71,36"
egipto,2018,"73,93","68,88","71,37"
egipto,2017,"73,97","68,71","71,30"
egipto,2016,"73,55","68,23","70,84"
el-salvador,2021,"75,15","66,08","70,75"
el-salvador,2020,"75,41","66,43","71,06"
el-salvador,2019,"76,78","68,01","72,56"
el-salvador,2018,"77,49","67,35","72,56"
el-salvador,2017,"77,49","66,91","72,31"
el-salvador,2016,"77,08","66,76","72,03"
emiratos-arabes-unidos,2021,"80,94","77,22","78,71"
emiratos-arabes-unidos,2020,"81,11","77,46","78,95"
emiratos-arabes-unidos,2019,"81,91","78,18","79,73"
emiratos-arabes-unidos,2018,"81,79","78,03","79,63"
emiratos-arabes-unidos,2017,"81,63","77,87","79,50"
emiratos-arabes-unidos,2016,"81,40","77,68","79,34"
eritrea,2021,"68,66","64,35","66,54"
eritrea,2020,"69,34","64,86","67,13"
eritrea,2019,"69,31","65,22","67,30"
eritrea,2018,"69,12","64,95","67,07"
eritrea,2017,"68,53","64,55","66,58"
eritrea,2016,"68,30","64,21","66,29"
eslovaquia,2021,"78,20","71,20","74,60"
eslovaquia,2020,"80,40","73,50","77,00"
eslovaquia,2019,"81,20","74,30","77,80"
eslovaquia,2018,"80,80","73,90","77,40"
eslovaquia,2017,"80,70","73,80","77,30"
eslovaquia,2016,"80,70","73,80","77,30"
eslovenia,2021,"83,80","77,70","80,70"
eslovenia,2020,"83,40","77,80","80,60"
eslovenia,2019,"84,50","78,70","81,60"
eslovenia,2018,"84,40","78,50","81,50"
eslovenia,2017,"84,00","78,20","81,20"
eslovenia,2016,"84,30","78,20","81,20"
espana,2021,"85,81","80,20","83,03"
espana,2020,"85,04","79,52","82,28"
espana,2019,"86,19","80,78","83,53"
espana,2018,"85,83","80,40","83,15"
espana,2017,"85,71","80,32","83,05"
espana,2016,"85,82","80,26","83,08"
estonia,2021,"81,40","72,70","77,20"
estonia,2020,"83,00","74,40","78,90"
estonia,2019,"83,00","74,50","79,00"
estonia,2018,"82,70","74,00","78,50"
estonia,2017,"82,60","73,80","78,40"
estonia,2016,"82,20","73,30","78,00"
etiopia,2021,"68,29","61,91","64,98"
etiopia,2020,"68,43","62,52","65,37"
etiopia,2019,"68,80","63,05","65,84"
etiopia,2018,"68,40","62,61","65,41"
etiopia,2017,"67,53","62,29","64,84"
etiopia,2016,"67,34","61,63","64,39"
filipinas,2021,"71,48","67,17","69,27"
filipinas,2020,"74,00","70,24","72,12"
filipinas,2019,"73,74","69,99","71,87"
filipinas,2018,"73,56","69,82","71,69"
filipinas,2017,"73,35","69,67","71,52"
filipinas,2016,"73,18","69,57","71,39"
finlandia,2021,"84,60","79,30","81,90"
finlandia,2020,"84,80","79,20","82,00"
finlandia,2019,"84,80","79,30","82,10"
finlandia,2018,"84,50","79,10","81,80"
finlandia,2017,"84,50","78,90","81,70"
finlandia,2016,"84,40","78,60","81,50"
fiyi,2021,"68,88","65,43","67,11"
fiyi,2020,"69,74","66,17","67,92"
fiyi,2019,"69,73","66,13","67,89"
fiyi,2018,"69,66","66,03","67,81"
fiyi,2017,"69,66","66,01","67,79"
fiyi,2016,"69,14","65,45","67,24"
francia,2021,"85,50","79,30","82,40"
francia,2020,"85,30","79,20","82,30"
francia,2019,"85,90","79,90","83,00"
francia,2018,"85,80","79,70","82,80"
francia,2017,"85,70","79,60","82,70"
francia,2016,"85,80","79,50","82,70"
gabon,2021,"68,49","63,49","65,82"
gabon,2020,"69,12","64,26","66,53"
gabon,2019,"68,87","64,58","66,60"
gabon,2018,"68,79","64,12","66,31"
gabon,2017,"68,74","63,95","66,19"
gabon,2016,"68,00","63,84","65,80"
gambia,2021,"63,53","60,66","62,08"
gambia,2020,"64,24","61,02","62,61"
gambia,2019,"65,19","62,33","63,76"
gambia,2018,"64,25","61,83","63,04"
gambia,2017,"64,28","61,71","63,00"
gambia,2016,"64,26","61,76","63,01"
georgia,2021,"76,68","66,80","71,69"
georgia,2020,"77,87","67,74","72,77"
georgia,2019,"78,40","69,80","74,10"
georgia,2018,"78,20","69,70","74,00"
georgia,2017,"77,80","69,20","73,50"
georgia,2016,"77,20","68,30","72,70"
ghana,2021,"66,01","61,63","63,80"
ghana,2020,"66,39","61,90","64,11"
ghana,2019,"66,83","62,69","64,74"
ghana,2018,"66,05","62,22","64,12"
ghana,2017,"65,92","62,12","64,01"
ghana,2016,"65,87","61,93","63,89"
granada,2021,"77,90","72,21","74,94"
granada,2020,"77,87","72,21","74,92"
granada,2019,"77,83","72,13","74,86"
granada,2018,"77,80","72,06","74,81"
granada,2017,"77,77","72,01","74,77"
granada,2016,"77,81","71,97","74,76"
grecia,2021,"82,90","77,40","80,20"
grecia,2020,"83,90","78,80","81,40"
grecia,2019,"84,20","79,20","81,70"
grecia,2018,"84,40","79,30","81,90"
grecia,2017,"83,90","78,80","81,40"
grecia,2016,"84,00","78,90","81,50"
guatemala,2021,"72,65","66,01","69,24"
guatemala,2020,"75,55","68,26","71,80"
guatemala,2019,"75,81","70,44","73,13"
guatemala,2018,"75,57","69,90","72,73"
guatemala,2017,"75,52","69,61","72,55"
guatemala,2016,"75,39","69,36","72,36"
guinea,2021,"60,10","57,60","58,89"
guinea,2020,"60,45","58,11","59,33"
guinea,2019,"60,82","58,54","59,72"
guinea,2018,"60,30","58,33","59,35"
guinea,2017,"60,21","57,93","59,11"
guinea,2016,"59,69","57,76","58,76"
guinea-bisau,2021,"61,80","57,39","59,65"
guinea-bisau,2020,"62,27","57,61","60,00"
guinea-bisau,2019,"62,87","58,76","60,88"
guinea-bisau,2018,"62,61","58,26","60,50"
guinea-bisau,2017,"62,04","57,97","60,07"
guinea-bisau,2016,"61,78","57,45","59,67"
guinea-ecuatorial,2021,"62,73","58,78","60,59"
guinea-ecuatorial,2020,"62,94","58,81","60,71"
guinea-ecuatorial,2019,"63,54","59,98","61,64"
guinea-ecuatorial,2018,"63,04","59,56","61,19"
guinea-ecuatorial,2017,"62,83","59,05","60,82"
guinea-ecuatorial,2016,"62,33","58,81","60,48"
guyana,2021,"69,10","62,48","65,67"
guyana,2020,"72,12","65,08","68,49"
guyana,2019,"72,66","65,81","69,12"
guyana,2018,"72,44","65,50","68,90"
guyana,2017,"72,21","65,30","68,67"
