,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy,Continent
336,2021,78.2,71.2,74.6,Europa
337,2020,80.4,73.5,77.0,Europa
338,2019,81.2,74.3,77.8,Europa
339,2018,80.8,73.9,77.4,Europa
340,2017,80.7,73.8,77.3,Europa
341,2016,80.7,73.8,77.3,Europa
342,2021,83.8,77.7,80.7,Europa
343,2020,83.4,77.8,80.6,Europa
344,2019,84.5,78.7,81.6,Europa
345,2018,84.4,78.5,81.5,Europa
346,2017,84.0,78.2,81.2,Europa
347,2016,84.3,78.2,81.2,Europa
348,2021,85.81,80.2,83.03,Europa
349,2020,85.04,79.52,82.28,Europa
350,2019,86.19,80.78,83.53,Europa
351,2018,85.83,80.4,83.15,Europa
352,2017,85.71,80.32,83.05,Europa
353,2016,85.82,80.26,83.08,Europa
354,2021,81.4,72.7,77.2,Europa
355,2020,83.0,74.4,78.9,Europa
356,2019,83.0,74.5,79.0,Europa
357,2018,82.7,74.0,78.5,Europa
358,2017,82.6,73.8,78.4,Europa
359,2016,82.2,73.3,78.0,Europa
360,2021,68.29,61.91,64.98,África
361,2020,68.43,62.52,65.37,África
362,2019,68.8,63.05,65.84,África
363,2018,68.4,62.61,65.41,África
364,2017,67.53,62.29,64.84,África
365,2016,67.34,61.63,64.39,África
366,2021,71.48,67.17,69.27,Asia
367,2020,74.0,70.24,72.12,Asia
368,2019,73.74,69.99,71.87,Asia
369,2018,73.56,69.82,71.69,Asia
370,2017,73.35,69.67,71.52,Asia
371,2016,73.18,69.57,71.39,Asia
372,2021,84.6,79.3,81.9,Europa
373,2020,84.8,79.2,82.0,Europa
374,2019,84.8,79.3,82.1,Europa
375,2018,84.5,79.1,81.8,Europa
376,2017,84.5,78.9,81.7,Europa
377,2016,84.4,78.6,81.5,Europa
378,2021,68.88,65.43,67.11,Oceanía
379,2020,69.74,66.17,67.92,Oceanía
380,2019,69.73,66.13,67.89,Oceanía
381,2018,69.66,66.03,67.81,Oceanía
382,2017,69.66,66.01,67.79,Oceanía
383,2016,69.14,65.45,67.24,Oceanía
384,2021,85.5,79.3,82.4,Europa
385,2020,85.3,79.2,82.3,Europa
386,2019,85.9,79.9,83.0,Europa
387,2018,85.8,79.7,82.8,Europa
388,2017,85.7,79.6,82.7,Europa
389,2016,85.8,79.5,82.7,Europa
390,2021,68.49,63.49,65.82,África
391,2020,69.12,64.26,66.53,África
392,2019,68.87,64.58,66.6,África
393,2018,68.79,64.12,66.31,África
394,2017,68.74,63.95,66.19,África
395,2016,68.0,63.84,65.8,África
396,2021,63.53,60.66,62.08,África
397,2020,64.24,61.02,62.61,África
398,2019,65.19,62.33,63.76,África
399,2018,64.25,61.83,63.04,África
400,2017,64.28,61.71,63.0,África
401,2016,64.26,61.76,63.01,África
402,2021,76.68,66.8,71.69,Asia
403,2020,77.87,67.74,72.77,Asia
404,2019,78.4,69.8,74.1,Asia
405,2018,78.2,69.7,74.0,Asia
406,2017,77.8,69.2,73.5,Asia
407,2016,77.2,68.3,72.7,Asia
408,2021,66.01,61.63,63.8,África
409,2020,66.39,61.9,64.11,África
410,2019,66.83,62.69,64.74,África
411,2018,66.05,62.22,64.12,África
412,2017,65.92,62.12,64.01,África
413,2016,65.87,61.93,63.89,África
414,2021,77.9,72.21,74.94,América
415,2020,77.87,72.21,74.92,América
416,2019,77.83,72.13,74.86,América
417,2018,77.8,72.06,74.81,América
418,2017,77.77,72.01,74.77,América
419,2016,77.81,71.97,74.76,América
420,2021,82.9,77.4,80.2,Europa
421,2020,83.9,78.8,81.4,Europa
422,2019,84.2,79.2,81.7,Europa
423,2018,84.4,79.3,81.9,Europa
424,2017,83.9,78.8,81.4,Europa
425,2016,84.0,78.9,81.5,Europa
426,2021,72.65,66.01,69.24,América
427,2020,75.55,68.26,71.8,América
428,2019,75.81,70.44,73.13,América
429,2018,75.57,69.9,72.73,América
430,2017,75.52,69.61,72.55,América
431,2016,75.39,69.36,72.36,América
432,2021,60.1,57.6,58.89,África
433,2020,60.45,58.11,59.33,África
434,2019,60.82,58.54,59.72,África
435,2018,60.3,58.33,59.35,África
436,2017,60.21,57.93,59.11,África
437,2016,59.69,57.76,58.76,África
438,2021,61.8,57.39,59.65,África
439,2020,62.27,57.61,60.0,África
440,2019,62.87,58.76,60.88,África
441,2018,62.61,58.26,60.5,África
