,Year,Obesity Rate,Max,Min,Continent
285,2018,131.02,205.78,61.46,Europa
286,2017,129.88,206.59,61.61,Europa
287,2016,125.66,198.23,61.67,Europa
288,2021,78.65,122.38,40.24,América
289,2020,77.58,119.14,40.83,América
290,2019,76.08,115.06,39.79,América
291,2018,72.77,111.23,37.93,América
292,2017,70.41,107.3,36.86,América
293,2016,65.86,99.65,33.83,América
294,2021,55.02,91.95,20.97,Europa
295,2020,54.0,89.41,20.76,Europa
296,2019,54.08,89.34,20.59,Europa
297,2018,54.22,89.81,20.55,Europa
298,2017,53.05,88.42,20.06,Europa
299,2016,53.17,88.77,19.89,Europa
300,2021,164.38,237.39,93.34,América
301,2020,161.74,231.95,93.42,América
302,2019,157.92,227.26,92.41,América
303,2018,153.99,218.97,91.63,América
304,2017,150.34,211.92,90.09,América
305,2016,146.88,207.84,87.96,América
306,2021,56.46,84.46,30.94,América
307,2020,56.46,84.75,31.27,América
308,2019,57.27,83.71,31.33,América
309,2018,57.83,84.41,32.8,América
310,2017,57.7,84.17,33.18,América
311,2016,57.36,83.74,33.86,América
312,2021,105.18,155.42,59.4,África
313,2020,103.36,147.66,57.75,África
314,2019,101.18,142.36,57.91,África
315,2018,99.61,141.02,57.08,África
316,2017,96.65,137.25,55.29,África
317,2016,99.12,141.11,56.41,África
318,2021,80.36,123.98,40.3,América
319,2020,81.35,120.41,42.32,América
320,2019,78.82,115.19,40.73,América
321,2018,74.56,109.5,38.78,América
322,2017,75.48,111.2,39.66,América
323,2016,73.53,107.87,38.23,América
324,2021,29.13,43.23,15.5,Asia
325,2020,26.44,39.46,13.83,Asia
326,2019,30.75,46.49,16.19,Asia
327,2018,27.76,42.31,14.63,Asia
328,2017,26.02,39.04,13.71,Asia
329,2016,25.23,37.6,13.36,Asia
330,2021,15.08,25.11,8.08,África
331,2020,14.59,23.86,7.77,África
332,2019,14.1,23.2,7.46,África
333,2018,13.71,22.18,7.31,África
334,2017,13.29,21.46,7.21,África
335,2016,12.85,20.83,7.01,África
336,2021,114.93,184.85,51.32,Europa
337,2020,113.92,180.17,51.48,Europa
338,2019,111.2,176.51,49.41,Europa
339,2018,112.68,177.08,50.4,Europa
340,2017,111.04,174.54,49.23,Europa
341,2016,107.83,171.01,47.88,Europa
342,2021,99.6,155.38,49.52,Europa
343,2020,104.64,158.56,50.83,Europa
344,2019,100.74,151.76,49.31,Europa
345,2018,99.64,150.85,49.23,Europa
346,2017,98.84,148.56,49.89,Europa
347,2016,95.3,143.13,48.51,Europa
348,2021,80.05,130.94,32.5,Europa
349,2020,81.21,132.32,33.54,Europa
350,2019,79.65,129.7,32.71,Europa
351,2018,79.1,129.04,32.34,Europa
352,2017,77.24,125.48,31.96,Europa
353,2016,75.34,122.43,31.34,Europa
354,2021,189.52,271.68,112.2,Europa
355,2020,187.45,263.54,110.96,Europa
356,2019,185.27,264.2,108.14,Europa
357,2018,187.02,266.6,110.91,Europa
358,2017,185.46,263.79,112.51,Europa
359,2016,193.78,268.45,119.21,Europa
360,2021,10.52,16.49,6.3,África
361,2020,10.31,15.74,5.94,África
362,2019,10.07,15.78,6.12,África
363,2018,9.8,15.26,5.81,África
364,2017,9.56,14.58,5.85,África
365,2016,9.37,13.91,5.66,África
366,2021,39.72,61.33,21.32,Asia
367,2020,38.55,57.42,21.16,Asia
368,2019,38.45,58.23,21.14,Asia
369,2018,36.96,55.85,20.25,Asia
370,2017,35.98,53.81,20.14,Asia
371,2016,35.62,53.08,20.04,Asia
372,2021,86.52,139.33,40.03,Europa
373,2020,84.97,136.14,39.64,Europa
374,2019,84.38,135.92,38.41,Europa
375,2018,83.87,134.6,38.24,Europa
376,2017,82.16,133.86,36.69,Europa
377,2016,80.43,131.64,35.08,Europa
378,2021,222.07,329.43,110.43,Oceanía
379,2020,220.14,329.7,109.0,Oceanía
380,2019,216.6,324.55,108.17,Oceanía
381,2018,212.28,318.46,108.42,Oceanía
382,2017,208.51,309.08,104.25,Oceanía
383,2016,205.44,299.76,101.98,Oceanía
384,2021,58.76,98.44,23.68,Europa
385,2020,59.14,98.42,24.48,Europa
386,2019,58.83,98.91,24.61,Europa
387,2018,58.11,97.13,24.1,Europa
388,2017,57.24,95.07,23.45,Europa
389,2016,55.98,92.39,22.67,Europa
